Date,GOOG_Adjusted_Close,GOOG_Cumulative_Return,GOOG_Value,CELG_Adjusted_Close,CELG_Cumulative_Return,CELG_Value,NVDA_Adjusted_Close,NVDA_Cumulative_Return,NVDA_Value,FB_Adjusted_Close,FB_Cumulative_Return,FB_Value,SPY_Adjusted_Close,SPY_Cumulative_Return,SPY_Value,Portfolio_Cumulative_Return,Portfolio_Value
2016-10-06,776.86,1.00000000,0.00000,104.03,1.00000000,0.80000,67.34,1.00000000,0.20000,128.74,1.00000000,0.00000,215.78,1.00000000,1.00000,1.00000000,1.00000000
2016-10-07,775.08,0.99770877,0.00000,104.07,1.00038451,0.79448,66.85,0.99272352,0.19710,128.99,1.00194190,0.00000,215.04,0.99657056,0.99657,0.99770877,0.99770877
2016-10-10,785.94,1.01168810,0.00000,104.27,1.00230701,0.79899,67.10,0.99643603,0.19858,130.24,1.01165139,0.00000,216.16,1.00176108,1.00176,1.01168810,1.01168810
2016-10-11,783.07,1.00799375,0.00000,101.64,0.97702586,0.76758,66.13,0.98203149,0.19288,128.88,1.00108746,0.00000,213.43,0.98910925,0.98911,1.00799375,1.00799375
2016-10-12,786.14,1.01194556,0.00000,100.10,0.96222243,0.75938,66.43,0.98648654,0.19463,129.05,1.00240793,0.00000,213.71,0.99040693,0.99041,1.01194556,1.01194556
2016-10-13,778.19,1.00171204,0.00000,100.63,0.96731711,0.75099,65.35,0.97044850,0.18835,127.82,0.99285377,0.00000,213.01,0.98716283,0.98716,1.00171204,1.00171204
2016-10-14,778.53,1.00214974,0.00000,98.50,0.94684227,0.74229,65.99,0.97995250,0.19206,127.88,0.99331981,0.00000,213.12,0.98767261,0.98767,1.00214974,1.00214974
2016-10-17,779.96,1.00399047,0.00000,99.64,0.95780064,0.74656,65.61,0.97430954,0.18986,127.54,0.99067885,0.00000,212.38,0.98424324,0.98424,1.00399047,1.00399047
2016-10-18,795.26,1.02368512,0.00000,100.06,0.96183792,0.76113,66.61,0.98915955,0.19569,128.57,0.99867952,0.00000,213.71,0.99040693,0.99041,1.02368512,1.02368512
2016-10-19,801.56,1.03179468,0.00000,100.02,0.96145341,0.75923,66.47,0.98708056,0.19487,130.11,1.01064156,0.00000,214.28,0.99304848,0.99305,1.03179468,1.03179468
2016-10-20,796.97,1.02588624,0.00000,100.02,0.96145341,0.77362,67.73,1.00579161,0.20232,130.00,1.00978712,0.00000,213.88,0.99119476,0.99119,1.02588624,1.02588624
2016-10-21,799.37,1.02897563,0.00000,98.91,0.95078347,0.76289,67.54,1.00297007,0.20119,132.07,1.02586610,0.00000,213.98,0.99165816,0.99166,1.02897563,1.02897563
2016-10-24,813.11,1.04666221,0.00000,98.07,0.94270884,0.79191,70.71,1.05004459,0.22052,133.28,1.03526482,0.00000,214.89,0.99587543,0.99588,1.04666221,1.04666221
2016-10-25,807.67,1.03965965,0.00000,97.63,0.93847927,0.80129,71.87,1.06727067,0.22781,132.29,1.02757486,0.00000,214.17,0.99253869,0.99254,1.03965965,1.03965965
2016-10-26,799.07,1.02858948,0.00000,98.41,0.94597717,0.81095,72.16,1.07157718,0.22966,131.04,1.01786537,0.00000,213.74,0.99054596,0.99055,1.02858948,1.02858948
2016-10-27,795.35,1.02380093,0.00000,104.72,1.00663273,0.84525,70.68,1.04959911,0.22033,129.69,1.00737919,0.00000,213.17,0.98790434,0.98790,1.02380093,1.02380093
2016-10-28,795.37,1.02382670,0.00000,103.90,0.99875039,0.83721,70.56,1.04781707,0.21958,131.29,1.01980727,0.00000,212.54,0.98498468,0.98498,1.02382670,1.02382670
2016-10-31,784.54,1.00988594,0.00000,102.18,0.98221668,0.83035,71.16,1.05672717,0.22333,130.99,1.01747708,0.00000,212.55,0.98503107,0.98503,1.00988594,1.00988594
2016-11-01,783.61,1.00868882,0.00000,104.09,1.00057673,0.82079,69.05,1.02539363,0.21029,129.50,1.00590333,0.00000,211.01,0.97789413,0.97789,1.00868882,1.00868882
2016-11-02,768.70,0.98949621,0.00000,102.85,0.98865712,0.80760,68.76,1.02108711,0.20852,127.17,0.98780482,0.00000,209.74,0.97200856,0.97201,0.98949621,0.98949621
2016-11-03,762.13,0.98103908,0.00000,102.35,0.98385081,0.79433,67.96,1.00920705,0.20370,120.00,0.93211119,0.00000,208.78,0.96755955,0.96756,0.98103908,0.98103908
